Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
413                                    GARAGE ITALIA SRL                 2
1006                                           VW PASSAT                 2
242                                       DAIMLERCHRYLER                 2
418                                               GIOTTI                 2
991                                            VOLVO F10                 2
1086                                               dodge                 2
1089                                               durso                 2
232                                         DAEWOO MATIZ                 2
1090                                      dymlerchrysler                 2
366                                          FIAT UNO 45                 2
1054                                                 ape                 2
1021                                   WIN LIFE ELECTRIC                 2
1072                                          challenger                 2
183                                    CHRYSLER (USA) YJ                 2
509                                           JOHN  DEER                 2
502                                                  JCB                 2
267                                            DUCATI B2                 2
186                                          CICLOMOTORE                 2
177                                              CHATNET                 2
517                                             KAWASAKY                 2
1118                                                 jdm                 2
269                                                  DUE                 2
950                                                 UNIC                 2
947                                              U T B U                 2
185                                                   CI                 2
187                                             CINTROEN                 2
851                                              SEA SPA                 1
1190                                           ssangyong                 1
855                                                SENKE                 1
949                                                UMBRA                 1
1067                                                  bw                 1
1077                                         ciclomotore                 1
1088                                              ducati                 1
1191                                              stayer                 1
1194                                                 sym                 1
1129                                                land                 1
1056                                               astra                 1
990                                           VOLVO B12B                 1
850                                           SEA S.P.A.                 1
1049                                              abarth                 1
1192                                              susuki                 1
1007                                             VW POLO                 1
847                                                 SDFG                 1
1087                                                  dr                 1
925                                         TOYOTA RAV 4                 1
1189                                                  ss                 1
858                                             SIAMROAD                 1
1132                                               lexus                 1
1009                                         VW POLO 1.4                 1
1097                                          fiat iveco                 1
871                                               SOCAGE                 1
1095                                            ferrante                 1
870                                        SMART FORFOUR                 1
1184                                           scuolabus                 1
1185                                          share n'go                 1
983                                           VOLKSWAGWN                 1
867                                                  SLH                 1
866                                          SKODA SUPER                 1
984                                            VOLKSWGEN                 1
865                                         SKODA Felici                 1
1186                                               simpa                 1
1187                                               skoda                 1
1008                                         VW POLO 1.0                 1
1093                                                fend                 1
1058                                         autobianchi                 1
934                                         TRATTORE 4RM                 1
1019                                               WAYEL                 1
986                                          VOLSKSWAGEN                 1
936                                 TRATTORE STRADALE VO                 1
1114                                           innocenti                 1
860                                          SIMACAR SRL                 1
1195                                               tasso                 1
1022                                             WINGAMM                 1
1084                                                 daf                 1
1003                                         VW Golf 1.9                 1
1001                                         VW Golf 1.4                 1
823                                        Royal Enfield                 1
1052                                                alfa                 1
1202                                         volkswafgen                 1
820                                               Reform                 1
1002                                         VW Golf 1.8                 1
1119                                                 jdp                 1
1204                                volkswagen passat  1                 1
819                                          RVM VEICOLI                 1
1020                                            WEINSBER                 1
818                                                  RVK                 1
817                                           RSA ITALIA                 1
825                                           S  L H 874                 1
1205                                           volkwagen                 1
1071                                         caterpillar                 1
815                                           ROVER MINI                 1
1209                                           wolswagen                 1
814                                          ROVER GROUP                 1
1004                                        VW Golf IV (                 1
813                                         ROVER 45 2.0                 1
1005                                         VW Lupo 1.0                 1
812                                         ROVER 420 td                 1
1212                                             zhejang                 1
944                                              TYPHOON                 1
824                                                    S                 1
826                                            S L K 874                 1
841                                              SAMSUNG                 1
938                                         TRATTRICE AG                 1
992                                        VOLVO FE 2006                 1
873                                             SPRINTER                 1
1197                                            trattore                 1
1126                                               laika                 1
1198                                                   v                 1
840                                         SAME EXPL 70                 1
839                           SAME DEUTZ-FAHR ITALIA SPA                 1
1068                                               caron                 1
1116                                               ivece                 1
837                                      SAME DEUTZ FAHR                 1
1082                                               comai                 1
1199                                                v.w.                 1
941                                          TRIGANO SPA                 1
995                                               VW 7HC                 1
1079                                       citroen xsara                 1
833                                             SAME 360                 1
832                                           SAME 35 QL                 1
1200                                              valtra                 1
809                                          ROLLS ROYCE                 1
830                                                SACAR                 1
