Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
489                                          IVECO 100 E           1940.000000
1139                                            mahindra           1940.000000
534                                              KTM 125           1940.000000
1190                                           ssangyong           1940.000000
787                                               RENAUL           1940.000000
921                                           TOYOTA 471           1940.000000
1199                                                v.w.           1940.000000
436                                              Generic           1940.000000
493                                                IZUZU           1940.000000
865                                         SKODA Felici           1940.000000
944                                              TYPHOON           1940.000000
460                                               HYNDAI           1940.000000
1145                                               mazda           1940.000000
1173                                             ranault           1940.000000
415                                             GASOLONE           1940.000000
455                                               HUNDAY           1940.000000
1160                                          mv augusta           1940.000000
1116                                               ivece           1940.000000
1119                                                 jdp           1940.000000
54                                          ALTRE MARCHE           1940.000000
1075                                  chatenet ch 24 t0b           1940.000000
120                                               BIMOTA           1940.000000
604                                               MARUTI           1940.000000
335                                          FIAT DOBLO'           1940.000000
334                                         FIAT Croma 1           1940.000000
201                                         CITROEN Xsar           1940.000000
664                                                   ML           1940.000000
748                                              PEUGETO           1940.000000
990                                           VOLVO B12B           1940.000000
258                                               DOBLO'           1940.000000
970                                                VIRGO           1940.000000
724                                                 Opel           1940.000000
568                                                LEOMA           1940.000000
1003                                         VW Golf 1.9           1940.000000
655                                          MITSUBHISHI           1940.000000
1010                                         VW Polo 1.0           1940.000000
355                                         FIAT Palio T           1940.000000
778                                                  RAV           1940.000000
618                                             MC LOUIS           1939.250000
1169                                             piaggio           1937.475679
511                                           JOHN DEERE           1930.890000
937                                            TRATTRICE           1920.000000
453                                               HORWIN           1916.610000
683                                             Mercedes           1915.156364
647                                            MINARELLI           1914.000000
673                                                MOTOM           1906.500000
1135                                              ligier           1901.074340
834                                          SAME BUFALO           1900.000000
917                                            TM RACING           1898.300000
384                                         FORD FOC 1.8           1896.000000
266                                               DUCATI           1895.839009
898                                               Suzuki           1895.542703
1024                                          WOLKSVAGEN           1894.008000
306                                                FENDT           1893.163958
349                                         FIAT PANDA 9           1889.000000
749                                              PIAGGIO           1887.692366
1013                                         VW Polo 1.4           1886.900000
551                                          LAMBORGHINI           1886.020400
946                                              Triumph           1878.913571
503                                                  JDM           1873.333333
437                                               Gilera           1872.956250
575                                                LIGER           1869.873571
297                                               FANTIC           1867.014490
53                                                 ALTRE           1864.687333
1027                                        WOTTAN MOTOR           1861.919000
880                                                SUNRA           1860.460000
433                                              GREENGO           1859.712000
447                                                HOBBY           1855.500000
967                                                 VENT           1855.308889
666                                              MONDIAL           1853.000000
61                                               APRILIA           1851.361433
292                                                  EVO           1849.187407
386                                          FORD Fiesta           1847.190000
845                                               SCANIA           1844.325730
135                                                BUELL           1840.500000
18                                                  AEON           1838.583333
261                                                DOTTO           1838.000000
952                                                   UV           1838.000000
270                                                DURSO           1838.000000
473                                              ICOVECO           1838.000000
353                                         FIAT PUNTO 6           1838.000000
36                                        AIXAM MEGA VBO           1838.000000
530                                             KSR MOTO           1837.625000
593                                             MAHINDRA           1836.461111
573                                               LIEGER           1829.000000
891                                                  SWM           1819.847500
939                                   TRATTRICE AGRICOLA           1815.250000
1073                                            chatenet           1807.000000
766                                              Piaggio           1805.365401
702                                             NISSAN T           1802.000000
0                                              MAN TRUCK           1801.333333
475                                               IIVECO           1800.000000
7                                              A.CARRARO           1800.000000
831                                                 SAME           1798.309701
543                                                  Kia           1795.000000
569                                                LEXUS           1794.901870
1060                                           autocarro           1791.500000
861                                                SIMPA           1788.617778
111                                              BENELLI           1787.578816
494                                                Isuzu           1787.000000
406                                         Fantic motor           1787.000000
533                                           KTM  IS A3           1787.000000
333                                         FIAT Cinquec           1787.000000
420                                      GIOTTI VITTORIA           1787.000000
959                                             VALENTIN           1787.000000
908                                            TATA  4X4           1787.000000
794                                         RENAULT M GA           1787.000000
793                                         RENAULT LAGU           1787.000000
554                                         LANCIA LIBRA           1787.000000
