Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
378                      HIUNDAY                 2
148                     CHATANET                 2
296                 FIAT PANDA 9                 2
298                 FIAT PUNTO 1                 2
147                    CHANGZHOU                 2
299                 FIAT PUNTO 5                 2
228                          DUE                 2
142                      CF MOTO                 2
331                 FORD Foc 1.8                 2
330                 FORD Foc 1.6                 2
119                       BUFALO                 2
123                      Brixton                 2
325           FORD CUSTOM 300 L1                 2
36                        AIXAMA                 2
312                  FIAT UNO 45                 2
46                  ALFA 147 1.9                 2
133                 CASALINI SRL                 2
315                  FIAT Uno 55                 2
158                  CICLOMOTORE                 2
368                        GUZZI                 2
165                 CITROEN C3 1                 2
393                 HYUNDAI S.FE                 2
258                         FEND                 2
407                        ISIZU                 2
405                       IRIZAR                 2
261                         FENT                 2
273                     FIAT 600                 2
183            CNH INTERNATIONAL                 2
192                       Cagiva                 2
182               CNH INDUSTRIAL                 2
260                    FENDT 208                 2
102                    BETAMOTOR                 2
181         CNH EUROPE HOLDING S                 2
410                      ITALJET                 2
198                 DAEWOO MATIZ                 2
270                   FIAT 500 F                 2
93                       BELARUS                 2
204               DAIMLERCHRYLER                 2
833                    VOLKSAGEN                 1
829                    VM RACING                 1
880                         XTOO                 1
114                      BREMACK                 1
99                     BERTOLINI                 1
828                          VLK                 1
97                      BERLINGO                 1
844                VOLVO FE 2006                 1
116            BRUSEGHINI  BEP/4                 1
842                   VOLVO B12B                 1
877                   XEV S.R.L.                 1
117                       BUCHER                 1
125                     CADILLAC                 1
129                       CARRON                 1
122                       Borile                 1
838                    VOLKSWGEN                 1
98                       BEROISH                 1
126                       CAGIVA                 1
832                       VOLEEX                 1
835                      VOLKSW.                 1
124                     C F MOTO                 1
106                   BLUE DREAM                 1
112                        BOXER                 1
847                  VW Bora 1.9                 1
108                 BMW 316i C 4                 1
862                  VW Polo 1.9                 1
109                     BMW 520i                 1
866                        WAYEL                 1
860                  VW Polo 1.2                 1
859                  VW Polo 1.0                 1
104                       BIMOTA                 1
858                  VW POLO 1.4                 1
857                  VW POLO 1.0                 1
868                      WINGAMM                 1
103                BETAMOTOR SPA                 1
110                  BMW X5 3.0D                 1
826                        VIRGO                 1
855                  VW Lupo 1.0                 1
871                   WOLKSWAGEN                 1
854                  VW Golf 1.9                 1
853                  VW Golf 1.8                 1
852                  VW Golf 1.4                 1
851                  VW GOLF 1.9                 1
100                      BERTONE                 1
850                  VW GOLF 1.6                 1
111                      BONETTI                 1
873                           WV                 1
848                     VW CADDY                 1
874                           WW                 1
875                        Wayel                 1
105                         BLUE                 1
827                       VITARA                 1
423         JANGSSU LUNENG ELECT                 1
130                     CARTHAGO                 1
776                          TGB                 1
160                      CIRELLI                 1
771                    TATA  4X4                 1
772                      TAZZARI                 1
773                          TDM                 1
774                     TECNOMEC                 1
159                     CINTROEN                 1
777      THE LONDON TAXI COMPANY                 1
768                  TARGA PROVA                 1
778                        TIGRE                 1
780                    TOWN LIFE                 1
157            CHRYSLER (USA) YJ                 1
782                   TOYOTA 471                 1
783                 TOYOTA Celic                 1
784                    TOYOTA JG                 1
161                       CITOEN                 1
163                 CITROEN AX 1                 1
786                 TOYOTA RAV 4                 1
166                 CITROEN C5 2                 1
751                 SUZUKI Jimny                 1
752                 SUZUKI SANTA                 1
171                       CITRON                 1
170                 CITROEN Xsar                 1
169                 CITROEN Saxo                 1
167                CITROEN DS 20                 1
758                         Same                 1
766                      TALARIA                 1
759                      Seat Mo                 1
760                        Senke                 1
761                       Sherco                 1
763               Suzuki Valenti                 1
164                   CITROEN C3                 1
765                        T CAR                 1
785                  TOYOTA Land                 1
154                      CHEREAU                 1
132                  CASALINI 10                 1
138              CAT CATERPILLAR                 1
810                  UNO 45 FIRE                 1
811                           UV                 1
140                          CCM                 1
813                          VAL                 1
882              Xiamen Xiashing                 1
814                      VALENTI                 1
816                     VALENTIN                 1
808                        UMBRA                 1
817                       VALMET                 1
818                     VALPADAN                 1
137                          CAT                 1
