Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
196                       DAEWOO           1966.961620
955                        kymco           1966.333333
207         DAIMLERCHRYSLER AG 9           1962.935000
467                  LAMBORGHINI           1962.475581
603                         OPEL           1961.619618
678               RENAULT TRUCKS           1961.545455
519              MASSEY FERGUSON           1958.420000
199                          DAF           1958.401636
27                   AGRIFULL 70           1950.000000
276                   FIAT 70.66           1950.000000
360                     GRAZIOLI           1950.000000
863                         Vent           1949.571429
781                       TOYOTA           1948.204032
502                       Ligier           1948.062500
444                           KL           1945.000000
201                     DAIHATSU           1944.395947
273                     FIAT 600           1943.030000
341                         FULU           1942.750000
560                           ML           1940.000000
530                           ME           1940.000000
515                       MARUTI           1940.000000
102                    BETAMOTOR           1940.000000
553                  MITSUBHISHI           1940.000000
673                 RENAULT Kang           1940.000000
615                         Opel           1940.000000
668                       RENAUL           1940.000000
660                          RAV           1940.000000
112                        BOXER           1940.000000
534                 MERCEDES 180           1940.000000
735                 SKODA Felici           1940.000000
612                  OPEL Zafira           1940.000000
826                        VIRGO           1940.000000
635                      PEUGETO           1940.000000
987                   mv augusta           1940.000000
104                       BIMOTA           1940.000000
974                        mazda           1940.000000
170                 CITROEN Xsar           1940.000000
283                 FIAT Croma 1           1940.000000
416                        IZUZU           1940.000000
412                  IVECO 100 E           1940.000000
842                   VOLVO B12B           1940.000000
854                  VW Golf 1.9           1940.000000
390                       HYNDAI           1940.000000
859                  VW Polo 1.0           1940.000000
386                       HUNDAY           1940.000000
369                      Generic           1940.000000
284                  FIAT DOBLO'           1940.000000
351                     GASOLONE           1940.000000
51                  ALTRE MARCHE           1940.000000
968                     mahindra           1940.000000
913           chatenet ch 24 t0b           1940.000000
950                          jdp           1940.000000
302                 FIAT Palio T           1940.000000
452                      KTM 125           1940.000000
947                        ivece           1940.000000
483                        LEOMA           1940.000000
999                      ranault           1940.000000
782                   TOYOTA 471           1940.000000
218                       DOBLO'           1940.000000
1022                        v.w.           1940.000000
803                      TYPHOON           1940.000000
1013                   ssangyong           1940.000000
219                        DODGE           1935.830857
649                      Peugeot           1934.998824
796                    TRATTRICE           1920.000000
981                     microcar           1919.000000
439                       KEEWAY           1917.445000
547                    MINARELLI           1914.000000
544                     MICROCAR           1912.862500
32                    AIXAM MEGA           1910.227273
155                    CHEVROLET           1909.320162
734                        SKODA           1907.811640
568                        MOTOM           1906.500000
708                  SAME BUFALO           1900.000000
757                          SYM           1899.997258
327                 FORD FOC 1.8           1896.000000
650                      Piaggio           1893.780097
739                        SMART           1893.465236
296                 FIAT PANDA 9           1889.000000
861                  VW Polo 1.4           1886.900000
980                mercedes benz           1885.610000
292                   FIAT PANDA           1884.625000
705                         SAME           1881.445323
288                   FIAT IVECO           1880.600000
190                        CUPRA           1880.570893
948                        iveco           1878.439531
567                    MOTOCICLO           1876.125000
984                   mitsubishi           1873.833333
425                          JDM           1873.333333
580                   Moto Guzzi           1871.125000
747                        SUNRA           1860.460000
823                         VENT           1855.308889
562                      MONDIAL           1853.000000
336                  FORD RANGER           1850.000000
723                         SEAT           1847.833039
703                         SAAB           1845.580000
905                          bmw           1841.623000
269                     FIAT 500           1841.000000
118                        BUELL           1840.500000
17                          AEON           1838.583333
229                        DURSO           1838.000000
300                 FIAT PUNTO 6           1838.000000
811                           UV           1838.000000
400                      ICOVECO           1838.000000
58                          ARCA           1838.000000
221                        DOTTO           1838.000000
34                AIXAM MEGA VBO           1838.000000
506                     MALAGUTI           1837.988660
488                       LIEGER           1829.000000
716                      SANTANA           1813.250000
888                       ZONTES           1812.080909
13                     ADAM OPEL           1810.690000
911                     chatenet           1807.000000
595                     NISSAN T           1802.000000
74                   AUTOBIANCHI           1800.850000
860                  VW Polo 1.2           1800.000000
402                       IIVECO           1800.000000
7                      A.CARRARO           1800.000000
461                          Kia           1795.000000
900                    autocarro           1791.500000
764                          Sym           1789.025870
731                        SIMPA           1788.617778
64                         ASTRA           1787.000000
356              GIOTTI VITTORIA           1787.000000
816                     VALENTIN           1787.000000
470                 LANCIA LIBRA           1787.000000
169                 CITROEN Saxo           1787.000000
282                 FIAT Cinquec           1787.000000
417                        Isuzu           1787.000000
414                   IVECO FIAT           1787.000000
372                        HAFEI           1787.000000
771                    TATA  4X4           1787.000000
579                   Mitsubishi           1787.000000
343                 Fantic motor           1787.000000
675                 RENAULT M GA           1787.000000
